Chapter,ID,Chunk,Fellowship
20,74,"[Gimli]: ‘Torment in the dark was the danger that I feared,
and it did not hold me back.’

[Gimli]: ‘But I would not have come, had I known the danger of light and joy. 
Now I have taken my worst wound in this parting, even if I were to go this night 
straight to the Dark Lord. Alas for Gimli son of Gloin!’

[Legolas]: ‘Nay!’ said Legolas.
[Legolas]: ‘Alas for us all! And for all that walk the world in these after-days. 
For such is the way of it: to find and lose, as it seems to those whose boat 
is on the running stream.’",Negative
11,17,"[Mr. Butterbur]: ‘I doubt it,’ said the landlord unhappily.

[Mr. Butterbur]: ‘The two or three riding-ponies that there 
were in Bree were stabled in my yard, and they’re gone.
As for other animals, horses or ponies for draught or what not, 
there are very few of them in Bree, and they won’t be for sale.
But I’ll do what I can. I’ll rout out Bob
and send him round as soon as may be.’

[Aragorn]: ‘Yes,’ said Strider reluctantly, 
[Aragorn]: ‘you had better do that. I am afraid we shall have to 
try to get one pony at least. But so
ends all hope of starting early, and slipping away quietly!’",Negative
16,83,"With a suddenness that startled them all the wizard sprang
to his feet. He was laughing!

[Gandalf]: ‘I have it!’ he cried.
[Gandalf]: ‘Of course, of course! Absurdly simple, like most riddles when 
you see the answer.’
Picking up his staff he stood before the rock and said in a
clear voice: 
[Gandalf]: ‘Mellon!’

The star shone out briefly and faded again.",Positive
2,19,"[Ted]: ‘Says he did, perhaps.
Your Hal’s always saying he’s seen
things; and maybe he sees things that ain’t there.’

[Sam]: ‘But this one was as big as an elm tree, and walking –
walking seven yards to a stride, if it was an inch.’

[Ted]: ‘Then I bet it wasn’t an inch.
What he saw was an elm tree, as like as not.’

[Sam]: ‘But this one was walking, I tell you; and there ain’t no elm
tree on the North Moors.’

[Ted]: ‘Then Hal can’t have seen one,’ said Ted.",Neutral
13,112,"[Bilbo]: ‘Well, that’s over,’ he said in a low voice.
[Bilbo]: ‘It went off better than I expected.
I don’t often get asked for a second hearing. What did you think
of it?’

[Frodo]: ‘I am not going to try and guess,’ said Frodo smiling.

[Bilbo]: ‘You needn’t,’ said Bilbo.

[Bilbo]: ‘As a matter of fact it was all mine. Except that Aragorn 
insisted on my putting in a green stone. He seemed to think it 
important. I don’t know why.’",Positive
4,56,"[Old Maggot]: ‘[Old Maggot]: ‘‘No you won’t,’’ I said.
[Old Maggot]: ‘‘You’ll go back where you belong, double quick.
I give you one minute before I call all my dogs.’’ ’

[Old Maggot]: ‘He gave a sort of hiss.
It might have been laughing, and it might not. Then he 
spurred his great horse right at me, and I jumped out 
of the way only just in time.’",Neutral
17,7,"[Gimli]: ‘The Chamber of Records,’ said Gimli.
[Gimli]: ‘I guess that is where we now stand.’

[Gandalf]: ‘Well, I can read no more for a long way,’ said Gandalf,
[Gandalf]: ‘except the word gold, and Durin’s Axe and something helm.
Then Balin is now lord of Moria.
That seems to end a chapter.’",Neutral
12,62,"[Pippin]: ‘I had no idea we were anywhere near the place!’
said Pippin. He knew the story well.

Bilbo and Frodo had told it often; but as a matter of fact he 
had never more than half believed it. Even now he looked at 
the stone trolls with suspicion, wondering if some magic 
might not suddenly bring them to life again.

[Aragorn]: ‘You are forgetting not only your family history, but all
you ever knew about trolls,’ said Strider.",Positive
18,72,"The flet was not at all to their liking as a bedroom.

It had no walls, not even a rail; only on one side was there a 
light plaited screen, which could be moved and fixed in different 
places according to the wind. Pippin went on talking for a while.

[Pippin]: ‘I hope, if I do go to
sleep in this bird-loft, that I shan’t roll off,’ he said.
[Sam]: ‘Once I do get to sleep,’ said Sam, 

[Sam]: ‘I shall go on sleeping, whether I roll off or no.
And the less said, the sooner I’ll drop
off, if you take my meaning.’",Neutral
13,77,"Elrond went forward and stood beside the silent figure.

[Elrond]: ‘Awake, little master!’ he said, with a smile.
Then, turning to Frodo, he beckoned to him.

[Elrond]: ‘Now at last the hour has come
that you have wished for, Frodo,’ he said.
[Elrond]: ‘Here is a friend that you have long missed.’
The dark figure raised its head and uncovered its face.

[Frodo]: ‘Bilbo!’ cried Frodo with sudden recognition, and he
sprang forward.

[Bilbo]: ‘Hullo, Frodo my lad!’ said Bilbo.
[Bilbo]: ‘So you have got here at last.
I hoped you would manage it. Well, well! So all this
feasting is in your honour, I hear. I hope you enjoyed
yourself?’",Positive
20,26,"Frodo greeted him with delight.

[Haldir]: ‘I have returned from the Northern Fences,’ said the Elf,
[Haldir]: ‘and I am sent now to be your guide again. The Dimrill Dale
is full of vapour and clouds of smoke, and the mountains are
troubled. There are noises in the deeps of the earth. If any
of you had thought of returning northwards to your homes,
you would not have been able to pass that way. But come!
Your path now goes south.’",Positive
5,63,"Fond as he was of Frodo, Fatty Bolger had no desire to
leave the Shire, nor to see what lay outside it.

His family
came from the Eastfarthing, from Budgeford in Bridgefields
in fact, but he had never been over the Brandywine Bridge.
His task, according to the original plans of the conspirators,
was to stay behind and deal with inquisitive folk, and to keep
up as long as possible the pretence that Mr. Baggins was still
living at Crickhollow.

He had even brought along some old
clothes of Frodo’s to help him in playing the part.",Neutral
5,48,"[Sam]: ‘Begging your pardon, sir! But I meant
no wrong to you, Mr. Frodo, nor to Mr. Gandalf for that
matter. He has some sense, mind you; and when you said go
alone, he said no! take someone as you can trust.’

[Frodo]: ‘But it does not seem that I can trust anyone,’ said Frodo.

Sam looked at him unhappily.

[Merry]: ‘It all depends on what you want,’ put in Merry.

[Merry]: ‘You can trust us to stick to you through
thick and thin – to the bitter end. And you can trust us to
keep any secret of yours – closer than you keep it yourself.’",Negative
22,22,"[Boromir]: ‘Yet may I not even speak of it? For you seem ever to think only 
of its power in the hands of the Enemy: of its evil uses not of its good. The 
world is changing, you say. Minas Tirith will fall, if the Ring lasts.’

[Boromir]: ‘But why? Certainly, if the Ring were with the Enemy. But why, if it 
were with us?’
[Frodo]: ‘Were you not at the Council?’ answered Frodo.
[Frodo]: ‘Because we cannot use it, and what is done with it turns to evil.’

Boromir got up and walked about impatiently.
[Boromir]: ‘So you go on,’ he cried.

[Boromir]: ‘Gandalf, Elrond – all these folk have taught you to say so. 
For themselves they may be right.’",Negative
12,79,"The other hobbits agreed hopefully
that it did not, but they all remained full of suspicion.

They had been in fear of pursuit for so long that any 
sound from behind seemed ominous and unfriendly.
But Strider was now leaning forward, stooped to the 
ground, with a hand to his ear, and a look of joy on his face.

The light faded, and the leaves on the bushes rustled softly.
Clearer and nearer now the bells jingled, and clippety-clip
came the quick trotting feet.",Positive
2,21,"The Bounders have never been so busy before.
[Ted]: ‘And I’ve heard tell that Elves are moving west.
They do say they are going to the harbours, out away beyond the
White Towers.’

Sam waved his arm vaguely: neither he nor
any of them knew how far it was to the Sea, past the old
towers beyond the western borders of the Shire.

But it was an old tradition that away over there stood the Grey Havens,
from which at times elven-ships set sail, never to return.",Neutral
1,124,"But Lobelia was not so easily
got rid of.

A little later Frodo came out of the study to see
how things were going on, and found her still about the place,
investigating nooks and corners, and tapping the floors.

He escorted her firmly off the premises, after he had relieved
her of several small (but rather valuable) articles that had
somehow fallen inside her umbrella.",Neutral
9,7,"Nowhere else in the world was this
peculiar (but excellent) arrangement to be found.

The Bree-folk, Big and Little, did not themselves travel
much; and the affairs of the four villages were their chief
concern.

Occasionally the Hobbits of Bree went as far as
Buckland, or the Eastfarthing; but though their little land was
not much further than a day’s riding east of the Brandywine
Bridge, the Hobbits of the Shire now seldom visited it.",Neutral
12,27,"[Aragorn]: ‘The Road runs along the edge of the hills for many
miles from the Bridge to the Ford of Bruinen. But I have not
yet thought how we shall cross that water.’

[Aragorn]: ‘One river at a time! We shall be fortunate indeed 
if we do not find the Last Bridge held against us.’

Next day, early in the morning, they came down again to
the borders of the Road. Sam and Strider went forward, but
they found no sign of any travellers or riders. Here under the
shadow of the hills there had been some rain.

Strider judged that it had fallen two days before, and had 
washed away all footprints.",Positive
12,42,"[Aragorn]: ‘and we must find some way to turn back southwards again. 
If we keep on as we are going we shall get up into the Ettendales 
far north of Rivendell.’

[Aragorn]: ‘That is troll-country, and little known to me. We could 
perhaps find our way through and come round to Rivendell
from the north; but it would take too long, for I do not know
the way, and our food would not last. So somehow or other
we must find the Ford of Bruinen.’

The rest of that day they spent scrambling over rocky
ground.",Neutral
3,2,"[Gandalf]: ‘That wouldn’t do at all! I said soon, not instantly.’

[Gandalf]: ‘If you can think of any way of slipping out of the 
Shire without its being generally known, it will be worth 
a little delay. But you must not delay too long.’

[Frodo]: ‘What about the autumn, on or after Our Birthday?’ 
asked Frodo.

[Frodo]: ‘I think I could probably make some arrangements by
then.’",Neutral
12,26,"[Aragorn]: ‘Some call it the Greyflood after that. It is
a great water before it finds the Sea. There is no way over it
below its sources in the Ettenmoors, except by the Last
Bridge on which the Road crosses.’

[Merry]: ‘What is that other river we can see far away there?’
asked Merry.

[Aragorn]: ‘That is Loudwater, the Bruinen of Rivendell,’ answered
Strider.

[Aragorn]: ‘The Road runs along the edge of the hills for many
miles from the Bridge to the Ford of Bruinen. But I have not
yet thought how we shall cross that water.’",Neutral
17,4,"Gandalf lifted it carefully, but the leaves
cracked and broke as he laid it on the slab.
He pored over it for some time without speaking.

Frodo and Gimli standing at his side could see, as he gingerly 
turned the leaves, that they were written by many different 
hands, in runes, both of Moria and of Dale, and here and 
there in Elvish script. At last Gandalf looked up.

[Gandalf]: ‘It seems to be a record of the
fortunes of Balin’s folk,’ he said.",Neutral
1,72,"Frodo was the only one present who had said nothing.

For some time he had sat silent beside Bilbo’s empty chair, and
ignored all remarks and questions. He had enjoyed the joke,
of course, even though he had been in the know.

He had difficulty in keeping from laughter at the indignant surprise
of the guests.",Positive
16,139,"[Gimli]: ‘No harp is wrung, no hammer falls:
The darkness dwells in Durin’s halls;
The shadow lies upon his tomb
In Moria, in Khazad-dum.
But still the sunken stars appear
In dark and windless Mirrormere;
There lies his crown in water deep,
Till Durin wakes again from sleep.’

[Sam]: ‘I like that!’ said Sam.
[Sam]: ‘I should like to learn it. In Moria, in Khazad-dum!
But it makes the darkness seem heavier,
thinking of all those lamps.
Are there piles of jewels and gold
lying about here still?’",Positive
16,145,"[Gandalf]: ‘Yes,’ said Gandalf. 
[Gandalf]: ‘I never told him, but its worth was
greater than the value of the whole Shire and everything in it.’

Frodo said nothing, but he put his hand under his tunic
and touched the rings of his mail-shirt. He felt staggered to
think that he had been walking about with the price of the
Shire under his jacket. Had Bilbo known? 

He felt no doubt that Bilbo knew quite well.
It was indeed a kingly gift.",Positive
13,71,"[Gloin]: ‘We have done well,’ he said.

[Gloin]: ‘But in metal-work we cannot rival our fathers, many of 
whose secrets are lost. We make good armour and keen swords, 
but we cannot again make mail or blade to match those that were 
made before the dragon came. Only in mining and building have 
we surpassed the old days.’

[Gloin]: ‘You should see the waterways of Dale, Frodo, and the 
fountains, and the pools! You should see the stone-paved roads 
of many colours!’",Neutral
2,7,"[Public]: ‘Some folk have all the luck,’ they said; but it was
not until Frodo approached the usually more sober age of
fifty that they began to think it queer.

Frodo himself, after the first shock, found that being his own
master and the Mr. Baggins of Bag End was rather pleasant.

For some years he was quite happy and did not worry much
about the future.",Positive
4,39,"[Frodo]: ‘I am terrified of him and his dogs.
I have avoided his farm for years and years.’

[Frodo]: ‘He caught me several times trespassing after mushrooms, 
when I was a youngster at Brandy Hall.
On the last occasion he beat me, and then
took me and showed me to his dogs. [Old Maggot]: ‘‘See, lads,’’ he said,
[Old Maggot]: ‘‘next time this young varmint sets foot on 
my land, you can eat him. Now see him off!’’
They chased me all the way to the Ferry.
I have never got over the fright – though I daresay
the beasts knew their business and would not really have
touched me.’",Negative
2,20,"[Ted]: ‘Then Hal can’t have seen one,’ said Ted.

There was some laughing and clapping:
the audience seemed to think that Ted had scored a point.

[Sam]: ‘All the same,’ said Sam, 
[Sam]: ‘you can’t deny that others besides
our Halfast have seen queer folk crossing the Shire – crossing
it, mind you: there are more that are turned back at the
borders.

The Bounders have never been so busy before.
[Ted]: ‘And I’ve heard tell that Elves are moving west.
They do say they are going to the harbours, out away beyond the
White Towers.’",Neutral
2,107,"[Gandalf]: ‘The Woodmen said that there was some
new terror abroad, a ghost that drank blood.’

[Gandalf]: ‘It climbed trees to find nests; it crept into holes to find the young; 
it slipped through windows to find cradles.’

[Gandalf]: ‘But at the western edge of Mirkwood the trail turned
away. It wandered off southwards and passed out of the
Wood-elves’ ken, and was lost.’
[Gandalf]: ‘And then I made a great mistake.
Yes, Frodo, and not the first; though I fear it may
prove the worst. I let the matter be.’",Negative
1,136,"[Gandalf]: ‘Expect me when you see me! I shall slip in
quietly. I shan’t often be visiting the Shire openly again.’

[Gandalf]: ‘I find that I have become rather unpopular.
They say I am a nuisance and a disturber of the peace.
Some people are actually accusing me of spiriting Bilbo away, or worse.
If you want to know, there is supposed to be a plot between you
and me to get hold of his wealth.’

[Frodo]: ‘Some people!’ exclaimed Frodo.
‘You mean Otho and Lobelia. How abominable!",Negative
12,72,"[Merry]: ‘Well, that’s a warning to us all!’ laughed Merry.
[Merry]: ‘It is as well you used a stick, and not your hand, Strider!’

[Pippin]: ‘Where did you come by that, Sam?’ asked Pippin.

[Sam]: ‘I’ve never heard those words before.’
Sam muttered something inaudible.

[Frodo]: ‘It’s out of his own head, of course,’ said Frodo.

[Frodo]: ‘I am learning a lot about Sam Gamgee on this journey.
First he was a conspirator, now he’s a jester. He’ll end up by 
becoming a wizard – or a warrior!’",Positive
1,22,"[Gaffer]: ‘And in the middle of it all Mr. Bilbo comes up the Hill
with a pony and some mighty big bags and a couple of chests.
I don’t doubt they were mostly full of treasure he had picked
up in foreign parts, where there be mountains of gold, they
say; but there wasn’t enough to fill tunnels.
But my lad Sam will know more about that.
He’s in and out of Bag End. Crazy about stories of the old days, 
he is, and he listens to all Mr. Bilbo’s tales.
Mr. Bilbo has learned him his letters –
meaning no harm, mark you, and I hope no harm will come
of it.’",Neutral
16,72,"[Gandalf]: ‘Some dwarf-gates will open only at special times, or
for particular persons; and some have locks and keys that are
still needed when all necessary times and words are known.
These doors have no key. In the days of Durin they were not
secret. They usually stood open and doorwards sat here.’

[Gandalf]: ‘But if they were shut, any who knew the opening word could
speak it and pass in. At least so it is recorded, is it not, Gimli?’",Neutral
4,51,"[Pippin]: ‘We lost our way in the woods, back near Woodhall, 
trying to take a short cut to the Ferry.’

[Old Maggot]: ‘If you were in a hurry, the road would have 
served you better,’ said the farmer.

[Old Maggot]: ‘But I wasn’t worrying about that.
You have leave to walk over my land, if you have a mind,
Mr. Peregrin. And you, Mr. Baggins – though I daresay you
still like mushrooms.’ He laughed.

[Old Maggot]: ‘Ah yes, I recognized the name.
I recollect the time when young Frodo Baggins was
one of the worst young rascals of Buckland.’",Neutral
1,116,"The old hole was now being
cleared a little.

Every one of the various parting gifts had labels, written
out personally by Bilbo, and several had some point, or some
joke. But, of course, most of the things were given where
they would be wanted and welcome.

The poorer hobbits, and
especially those of Bagshot Row, did very well.

Old Gaffer
Gamgee got two sacks of potatoes, a new spade, a woollen
waistcoat, and a bottle of ointment for creaking joints.",Neutral
16,129,"They seemed to have passed through some arched
doorway into a black and empty space. There was a great
draught of warmer air behind them, and before them the
darkness was cold on their faces. They halted and crowded
anxiously together. Gandalf seemed pleased.

[Gandalf]: ‘I chose the right way,’ he said.

[Gandalf]: ‘At last we are coming to the habitable parts, and I guess that
we are not far now from the eastern side.’ 

[Gandalf]: ‘But we are high up, a good deal higher than the Dimrill Gate, 
unless I am mistaken.’",Positive
7,6,"He stood as he had at times stood enchanted by
fair elven-voices; but the spell that was now laid upon him
was different: less keen and lofty was the delight, but deeper
and nearer to mortal heart; marvellous and yet not strange.

[Frodo]: ‘Fair lady Goldberry!’ he said again.
[Frodo]: ‘Now the joy that was
hidden in the songs we heard is made plain to me.’

[Frodo]: ‘O slender as a willow-wand!
O clearer than clear water!
O reed by the living pool!
Fair River-daughter!
O spring-time and summer-time, and spring again after!
O wind on the waterfall, and the leaves’ laughter!’",Positive
1,20,"[Gaffer]: ‘The Sackville-Bagginses won’t never see
the inside of Bag End now, or it is to be hoped not.’

[Stranger]: ‘There’s a tidy bit of money tucked away up there, I hear
tell,’ said a stranger, a visitor on business from Michel
Delving in the Westfarthing.

[Stranger]: ‘All the top of your hill is full of
tunnels packed with chests of gold and silver, and jools, by
what I’ve heard.’

[Gaffer]: ‘Then you’ve heard more than I can speak to,’ answered
the Gaffer.

[Gaffer]: ‘I know nothing about jools.",Neutral
14,217,"[Sam]: ‘But you won’t send him off alone surely, Master?’ cried
Sam, unable to contain himself any longer, and jumping up
from the corner where he had been quietly sitting on the
floor.

[Elrond]: ‘No indeed!’ said Elrond, turning towards him with a smile.
[Elrond]: ‘You at least shall go with him. It is hardly possible to separate
you from him, even when he is summoned to a secret council
and you are not.’

Sam sat down, blushing and muttering.
[Sam]: ‘A nice pickle we
have landed ourselves in, Mr. Frodo!’ he said, shaking his head.",Positive
7,43,"[Tom Bombadil]: ‘and her autumn-cleaning.
Too wet for hobbit-folk – let them rest
while they are able! It’s a good day for long tales, for questions
and for answers, so Tom will start the talking.’

He then told them many remarkable stories, sometimes
half as if speaking to himself, sometimes looking at them
suddenly with a bright blue eye under his deep brows.

Often his voice would turn to song, and he would get out of his
chair and dance about.",Neutral
15,25,"[Elrond]: ‘The Company of the Ring shall be Nine; and the Nine
Walkers shall be set against the Nine Riders that are evil.
With you and your faithful servant, Gandalf will go; for this
shall be his great task, and maybe the end of his labours.’

[Elrond]: ‘For the rest, they shall represent the other Free Peoples 
of the World: Elves, Dwarves, and Men. Legolas shall be for the Elves; 
and Gimli son of Gloin for the Dwarves.’

[Elrond]: ‘They are willing to go at least 
to the passes of the Mountains, and maybe beyond.’",Neutral
19,22,"[Aragorn]: ‘It was both a shadow and a flame, strong and terrible.’
[Legolas]: ‘It was a Balrog of Morgoth,’ said Legolas; 
[Legolas]: ‘of all elf-banes the most deadly, save the 
One who sits in the Dark Tower.’

[Gimli]: ‘Indeed I saw upon the bridge that which haunts 
our darkest dreams,  I saw Durin’s Bane,’ said Gimli in a 
low voice, and dread was in his eyes.

[Celeborn]: ‘Alas!’ said Celeborn.
[Celeborn]: ‘We long have feared that under
Caradhras a terror slept.’",Negative
15,28,"[Pippin]: ‘But that will leave no place for us!’
cried Pippin in dismay.
[Pippin]: ‘We don’t want to be left behind. We want to go with Frodo.’

[Elrond]: ‘That is because you do not understand and cannot
imagine what lies ahead,’ said Elrond.

[Gandalf]: ‘Neither does Frodo,’ said Gandalf, unexpectedly 
supporting Pippin.
[Gandalf]: ‘Nor do any of us see clearly. It is true that if these hobbits 
understood the danger, they would not dare to go.’

[Gandalf]: ‘But they would still wish to go, or wish that they dared,
and be shamed and unhappy.’",Negative
2,93,"[Gandalf]: ‘In which case you also were meant to have it.
And that may be an encouraging thought.’
[Frodo]: ‘It is not,’ said Frodo.

[Frodo]: ‘Though I am not sure that I understand you.
But how have you learned all this about the Ring,
and about Gollum? Do you really know it all, or are you just
guessing still?’ Gandalf looked at Frodo, and his eyes glinted.

[Gandalf]: ‘I knew much and I have learned much,’ he answered.

[Gandalf]: ‘But I am not going to give an account 
of all my doings to you. The history of Elendil and Isildur 
and the One Ring is known to all the Wise.’",Neutral
14,126,"[Gandalf]: ‘I could not follow him then and there. I had ridden very
far already that day, and I was as weary as my horse; and I
needed to consider matters. I stayed the night in Bree, and
decided that I had no time to return to the Shire.Never did I make a 
greater mistake!’

[Gandalf]: ‘However, I wrote a message to Frodo, and trusted to my
friend the innkeeper to send it to him. I rode away at dawn;
and I came at long last to the dwelling of Saruman.’",Negative
16,60,"Turning to the others he said: 
[Gandalf]: ‘While I am searching, will you each make ready to enter 
the Mines? For here I fear we must say farewell to our good beast 
of burden.’

[Gandalf]: ‘You must lay aside much of the stuff that we brought against 
bitter weather: you will not need it inside, nor, I hope, when we come
through and journey on down into the South. Instead each
of us must take a share of what the pony carried, especially
the food and the water-skins.’

[Sam]: ‘But you can’t leave poor old Bill behind in this forsaken
place, Mr. Gandalf!’ cried Sam, angry and distressed.",Negative
2,39,"[Frodo]: ‘How long have you known all this?’ asked Frodo again.

[Gandalf]: ‘Known?’ said Gandalf.
[Gandalf]: ‘I have known much that only the
Wise know, Frodo. But if you mean ‘‘known about this ring’’,
well, I still do not know, one might say.
There is a last test to make.
But I no longer doubt my guess.

[Gandalf]: ‘When did I first begin to guess?’
he mused, searching back in memory.

[Gandalf]: ‘Let me see – it was in the year that the White
Council drove the Dark Power from Mirkwood, just before
the Battle of Five Armies, that Bilbo found his ring.’",Neutral
1,26,"[Gaffer]: ‘If that’s
being queer, then we could do with a bit more queerness in
these parts.’

[Gaffer]: ‘There’s some not far away that wouldn’t offer a
pint of beer to a friend, if they lived in a hole with golden
walls. But they do things proper at Bag End. Our Sam says
that everyone’s going to be invited to the party, and there’s
going to be presents, mark you, presents for all – this very
month as is.’

That very month was September, and as fine as you could ask.",Neutral
14,192,"[Boromir]: ‘The Men of Gondor are valiant, and they will never submit; but 
they may be beaten down.’

[Boromir]: ‘Valour needs first strength, and then a weapon. Let the Ring be 
your weapon, if it has such power as you say. Take it and go forth to victory!’

[Elrond]: ‘Alas, no,’ said Elrond.
[Elrond]: ‘We cannot use the Ruling Ring. That we now know too well. It 
belongs to Sauron and was made by him alone, and is altogether evil.’",Positive
14,200,"The Elves returned no answer.

[Elrond]: ‘Did you not hear me, Gloin?’ said Elrond.

[Elrond]: ‘The Three were not made by Sauron, nor did he ever touch them.
But of them it is not permitted to speak. So much only in this hour of doubt I 
may now say.’

[Elrond]: ‘They are not idle. But they were not made as weapons of
war or conquest: that is not their power.’",Neutral
3,62,"[Pippin]: ‘Well, the Road won’t sweep me anywhere for an hour at
least,’ said Pippin, unslinging his pack.

The others followed his example, putting their packs against the 
bank and their legs out into the road. After a rest they had a good 
lunch and then more rest. The sun was beginning to get low and 
the light of afternoon was on the land as they went down the hill.

So far they had not met a soul on the road.",Neutral
16,90,"Many coiling arms seized the doors on either side, and with 
horrible strength, swung them round.

With a shattering echo they slammed, and all light was lost. A noise of rending 
and crashing came dully through the ponderous stone.
Sam,clinging to Frodo’s arm,collapsed on a step in the black darkness.

[Sam]: ‘Poor old Bill!’ he said in a choking voice.

[Sam]: ‘Poor old Bill! Wolves and snakes! But the snakes were too much for him.
I had to choose, Mr. Frodo. I had to come with you.’",Negative
15,134,"[Pippin]: ‘But how are we to get down there, even if you have cut
through the drift?’ said Pippin, voicing the thought of all the
hobbits.

[Boromir]: ‘Have hope!’ said Boromir.
[Boromir]: ‘I am weary, but I still have some strength left, 
and Aragorn too. We will bear the little folk. The others no 
doubt will make shift to tread the path behind us. Come, Master 
Peregrin! I will begin with you.’

He lifted up the hobbit.
[Boromir]: ‘Cling to my back! I shall need my
arms,’ he said and strode forward.",Positive
16,78,"[Gandalf]: ‘Annon edhellen, edro hi ammen! 
Fennas nogothrim, lasto beth lammen!’
he said in a commanding voice.

The silver lines faded, but the blank grey stone did not stir.
Many times he repeated these words in different order, or
varied them. Then he tried other spells, one after another,
speaking now faster and louder, now soft and slow.

Then he spoke many single words of Elvish speech.
Nothing happened.",Neutral
16,70,"[Frodo]: ‘What does the writing say?’ asked Frodo, who was trying
to decipher the inscription on the arch.

[Frodo]: ‘I thought I knew the elf-letters, but I cannot read these.’
[Gandalf]: ‘The words are in the elven-tongue of the West of Middle-
earth in the Elder Days,’ answered Gandalf.

[Gandalf]: ‘But they do not say anything of importance to us. 
They say only: The Doors of Durin, Lord of Moria. Speak, friend, and enter.’",Neutral
2,60,"[Gandalf]: ‘But last night I told you of Sauron the Great, the Dark
Lord.’

[Gandalf]: ‘The rumours that you have heard are true: he has
indeed arisen again and left his hold in Mirkwood and
returned to his ancient fastness in the Dark Tower of Mordor.
That name even you hobbits have heard of, like a shadow on
the borders of old stories.
Always after a defeat and a respite,
the Shadow takes another shape and grows again.’

[Frodo]: ‘I wish it need not have happened in my time,’ said Frodo.",Negative
14,43,"[Elrond]: ‘But now in
this latter day they are in peril once more, for to our sorrow
the One has been found.’

[Elrond]: ‘Others shall speak of its finding, for in that I played small part.’
He ceased, but at once Boromir stood up, tall and proud, before them.

[Boromir]: ‘Give me leave, Master Elrond,’ said he, 
[Boromir]: ‘first to say more of Gondor, for verily from the 
land of Gondor I am come. And it would be well for all to 
know what passes there.’",Positive
20,6,"[Celeborn]: ‘I see that you do not yet know what to do,’ said Celeborn.

[Celeborn]: ‘It is not my part to choose for you; but I will help you as I
may. There are some among you who can handle boats:
Legolas, whose folk know the swift Forest River; and Boromir
of Gondor; and Aragorn the traveller.’

[Merry]: ‘And one Hobbit!’ cried Merry.
[Merry]: ‘Not all of us look on boats as wild horses. My people live by 
the banks of the Brandywine.’

[Celeborn]: ‘That is well,’ said Celeborn.
[Celeborn]: ‘Then I will furnish your Company with boats.’",Neutral
4,76,"[Old Maggot]: ‘Mrs. Maggot put this up for
Mr. Baggins, with her compliments.’

He handed it down and
moved off, followed by a chorus of thanks and good-nights.

They watched the pale rings of light round his lanterns as
they dwindled into the foggy night.

Suddenly Frodo laughed:
from the covered basket he held, the scent of mushrooms
was rising.",Positive
8,56,"One would have thought that nothing
dangerous or dreadful had happened; and indeed the horror
faded out of their hearts as they looked at him, and saw the
merry glint in his eyes.

[Pippin]: ‘What do you mean?’ asked Pippin, looking at him, 
half puzzled and half amused.

[Pippin]: ‘Why not?’
But Tom shook his head, saying: 
[Tom Bombadil]: ‘You’ve found yourselves 
again, out of the deep water. Clothes are but little loss,
if you escape from drowning. Be glad, my merry friends,
and let the warm sunlight heat now heart and limb!
Cast off these cold rags! Run naked on the grass, 
while Tom goes a-hunting!’",Positive
4,41,"The Maggots, and the Puddifoots of Stock, and
most of the inhabitants of the Marish, were house-dwellers;
and this farm was stoutly built of brick and had a high wall
all round it.

There was a wide wooden gate opening out of
the wall into the lane.

Suddenly as they drew nearer a terrific baying and barking
broke out, and a loud voice was heard shouting: 
[Old Maggot]: ‘Grip! Fang! Wolf! Come on, lads!’

Frodo and Sam stopped dead, but Pippin walked on a few
paces.",Negative
22,64,"[Pippin]: ‘This waiting is horrible! Surely the time is up?’
[Aragorn]: ‘Yes,’ said Aragorn.

[Aragorn]: ‘The hour is long passed. The morning is wearing away.
We must call for him.’

At that moment Boromir reappeared. He came out from the trees and walked 
towards them without speaking. His face looked grim and sad. He paused as if 
counting those that were present, and then sat down aloof, with his eyes on 
the ground.

[Aragorn]: ‘Where have you been, Boromir?’ asked Aragorn.",Negative
2,56,"[Frodo]: ‘I cannot read the fiery letters,’ said Frodo in a quavering
voice.

[Gandalf]: ‘No,’ said Gandalf, ‘but I can.’

[Gandalf]: ‘The letters are Elvish, of an
ancient mode, but the language is that of Mordor, which I
will not utter here. But this in the Common Tongue is what
is said, close enough:
One Ring to rule them all, One Ring to find them,
One Ring to bring them all and in the darkness bind them.’",Negative
14,58,"[Aragorn]: ‘Now you have seen the sword that you have sought, what 
would you ask? Do you wish for the House of Elendil to return to the 
Land of Gondor?’

[Boromir]: ‘I was not sent to beg any boon, but to seek only the
meaning of a riddle,’ answered Boromir proudly.

[Boromir]: ‘Yet we are hard pressed, and the Sword of Elendil would 
be a help beyond our hope – if such a thing could indeed return out of
the shadows of the past.’

He looked again at Aragorn, and doubt was in his eyes.",Positive
20,2,"[Celeborn]: ‘But whether they stay or go, none can be sure of
peace. For we are come now to the edge of doom.’

[Celeborn]: ‘Here those
who wish may await the oncoming of the hour till either the
ways of the world lie open again, or we summon them to the
last need of Lorien. Then they may return to their own lands,
or else go to the long home of those that fall in battle.’

There was a silence.
[Galadriel]: ‘They all resolved to go forward,’ said
Galadriel looking in their eyes.",Neutral
